,usage_end_time,cost,usage_amount,usage_unit,service_type
316547,2024-04-04 10:00:00,1.6e-05,450896437178.0,byte-seconds,Artifact Registry
316701,2024-04-04 11:00:00,5e-06,163918274630.0,byte-seconds,Artifact Registry
369091,2024-04-24 9:00:00,5e-05,1403642489468.0,byte-seconds,Artifact Registry
369214,2024-04-24 10:00:00,2.9e-05,809211483524.0,byte-seconds,Artifact Registry
369215,2024-04-24 10:00:00,2.7e-05,760380701956.0,byte-seconds,Artifact Registry
369329,2024-04-24 11:00:00,5.6e-05,1569593192111.0,byte-seconds,Artifact Registry
369452,2024-04-24 12:00:00,1e-05,306070672461.0,byte-seconds,Artifact Registry
369453,2024-04-24 12:00:00,5.1e-05,1419568457003.0,byte-seconds,Artifact Registry
369560,2024-04-24 13:00:00,6.2e-05,1774092246242.0,byte-seconds,Artifact Registry
369697,2024-04-24 14:00:00,4.6e-05,1288188198912.0,byte-seconds,Artifact Registry
369698,2024-04-24 14:00:00,4e-06,122215307310.0,byte-seconds,Artifact Registry
369699,2024-04-24 14:00:00,1.3e-05,363688951283.0,byte-seconds,Artifact Registry
369807,2024-04-24 15:00:00,6.3e-05,1774093170626.0,byte-seconds,Artifact Registry
369908,2024-04-24 16:00:00,1.3e-05,376009191440.0,byte-seconds,Artifact Registry
369953,2024-04-24 16:00:00,5e-05,1398082918781.0,byte-seconds,Artifact Registry
370070,2024-04-24 17:00:00,4.6e-05,1288681211015.0,byte-seconds,Artifact Registry
370071,2024-04-24 17:00:00,1.7e-05,485411235459.0,byte-seconds,Artifact Registry
370194,2024-04-24 18:00:00,4.8e-05,1352252865401.0,byte-seconds,Artifact Registry
370195,2024-04-24 18:00:00,1.5e-05,421839723007.0,byte-seconds,Artifact Registry
370312,2024-04-24 19:00:00,9e-06,265621067704.0,byte-seconds,Artifact Registry
370313,2024-04-24 19:00:00,5.4e-05,1508471252481.0,byte-seconds,Artifact Registry
370427,2024-04-24 20:00:00,6.3e-05,1774092474457.0,byte-seconds,Artifact Registry
370550,2024-04-24 21:00:00,3.6e-05,1007783267371.0,byte-seconds,Artifact Registry
